Day,Time,Refrigerator,TV,Microwave,Washing_Machine,Dishwasher,Desktop
01.10.2023,9:00,1,1,1,0,0,0
01.10.2023,10:00,1,1,0,1,1,0
01.10.2023,11:00,1,1,0,1,0,0
01.10.2023,12:00,1,1,1,0,1,0
01.10.2023,13:00,1,1,1,0,1,0
01.10.2023,14:00,1,0,0,0,0,0
01.10.2023,15:00,1,0,0,0,0,1
01.10.2023,16:00,1,0,0,0,0,1
01.10.2023,17:00,1,1,0,0,0,1
01.10.2023,18:00,1,1,0,0,0,1
01.10.2023,19:00,1,1,1,0,0,1
01.10.2023,20:00,1,1,1,0,1,0
01.10.2023,21:00,1,1,0,0,1,0
02.10.2023,9:00,1,1,0,0,0,0
02.10.2023,10:00,1,1,1,0,0,1
02.10.2023,11:00,1,0,0,0,1,1
02.10.2023,12:00,1,0,0,0,0,1
02.10.2023,13:00,1,0,0,0,0,1
02.10.2023,14:00,1,0,0,0,0,1
02.10.2023,15:00,1,0,0,0,0,1
02.10.2023,16:00,1,0,0,0,0,1
02.10.2023,17:00,1,0,0,0,0,1
02.10.2023,18:00,1,0,0,0,0,1
02.10.2023,19:00,1,1,1,0,0,0
02.10.2023,20:00,1,1,1,0,1,0
02.10.2023,21:00,1,1,0,0,1,0
03.10.2023,9:00,1,1,1,0,0,0
03.10.2023,10:00,1,1,0,0,1,0
03.10.2023,11:00,1,0,0,0,0,0
03.10.2023,12:00,1,0,0,0,0,0
03.10.2023,13:00,1,0,0,0,0,0
03.10.2023,14:00,1,0,0,0,0,0
03.10.2023,15:00,1,0,0,0,0,0
03.10.2023,16:00,1,0,0,0,0,0
03.10.2023,17:00,1,0,0,0,0,0
03.10.2023,18:00,1,0,0,0,0,0
03.10.2023,19:00,1,1,1,0,0,0
03.10.2023,20:00,1,1,1,0,1,0
03.10.2023,21:00,1,1,0,0,1,0
04.10.2023,9:00,1,0,0,0,0,0
04.10.2023,10:00,1,0,1,0,0,0
04.10.2023,11:00,1,0,0,0,1,0
04.10.2023,12:00,1,0,0,0,0,0
04.10.2023,13:00,1,0,0,0,0,0
04.10.2023,14:00,1,0,0,0,0,0
04.10.2023,15:00,1,0,0,0,0,0
04.10.2023,16:00,1,0,0,0,0,0
04.10.2023,17:00,1,0,0,0,0,0
04.10.2023,18:00,1,0,0,0,0,0
04.10.2023,19:00,1,0,1,0,0,0
04.10.2023,20:00,1,1,1,0,1,0
04.10.2023,21:00,1,1,0,0,0,0
05.10.2023,9:00,1,0,0,0,1,0
05.10.2023,10:00,1,0,1,0,0,0
05.10.2023,11:00,1,0,0,0,1,0
05.10.2023,12:00,1,0,0,0,0,0
05.10.2023,13:00,1,0,0,0,0,0
05.10.2023,14:00,1,1,0,0,0,0
05.10.2023,15:00,1,1,0,0,0,0
05.10.2023,16:00,1,1,0,0,0,0
05.10.2023,17:00,1,0,0,0,0,0
05.10.2023,18:00,1,0,1,0,0,1
05.10.2023,19:00,1,0,1,0,1,1
05.10.2023,20:00,1,1,0,0,1,1
05.10.2023,21:00,1,1,0,0,0,1
06.10.2023,9:00,1,1,0,0,0,1
06.10.2023,10:00,1,1,1,0,0,1
06.10.2023,11:00,1,0,0,0,1,0
06.10.2023,12:00,1,0,0,0,0,0
06.10.2023,13:00,1,0,0,0,0,0
06.10.2023,14:00,1,0,0,0,0,0
06.10.2023,15:00,1,0,0,0,0,0
06.10.2023,16:00,1,0,0,0,0,0
06.10.2023,17:00,1,0,0,0,0,0
06.10.2023,18:00,1,0,0,0,0,0
06.10.2023,19:00,1,1,1,0,0,0
06.10.2023,20:00,1,1,1,0,1,0
06.10.2023,21:00,1,1,0,0,1,0
07.10.2023,9:00,1,1,0,0,0,0
07.10.2023,10:00,1,1,0,0,0,0
07.10.2023,11:00,1,0,0,0,0,0
07.10.2023,12:00,1,0,0,0,0,0
07.10.2023,13:00,1,0,0,0,0,0
07.10.2023,14:00,1,0,0,0,0,0
07.10.2023,15:00,1,1,0,0,0,0
07.10.2023,16:00,1,1,0,0,0,0
07.10.2023,17:00,1,1,0,0,0,0
07.10.2023,18:00,1,0,0,0,0,0
07.10.2023,19:00,1,1,0,0,0,0
07.10.2023,20:00,1,1,0,0,0,0
07.10.2023,21:00,1,1,0,0,0,0
08.10.2023,9:00,1,1,0,0,0,0
08.10.2023,10:00,1,1,0,0,0,1
08.10.2023,11:00,1,1,0,0,0,1
08.10.2023,12:00,1,1,0,0,0,1
08.10.2023,13:00,1,1,0,0,0,1
08.10.2023,14:00,1,0,0,0,0,1
08.10.2023,15:00,1,0,0,0,0,0
08.10.2023,16:00,1,0,0,0,0,0
08.10.2023,17:00,1,1,0,0,0,0
08.10.2023,18:00,1,1,0,0,0,0
08.10.2023,19:00,1,1,1,0,0,0
08.10.2023,20:00,1,1,1,0,0,0
08.10.2023,21:00,1,1,0,0,1,0
09.10.2023,9:00,1,1,0,0,0,0
09.10.2023,10:00,1,1,1,0,0,1
09.10.2023,11:00,1,0,0,0,1,1
09.10.2023,12:00,1,0,0,0,0,1
09.10.2023,13:00,1,0,0,0,0,1
09.10.2023,14:00,1,0,0,0,0,1
09.10.2023,15:00,1,0,0,0,0,1
09.10.2023,16:00,1,0,0,0,0,1
09.10.2023,17:00,1,0,0,0,0,1
09.10.2023,18:00,1,0,0,0,0,1
09.10.2023,19:00,1,1,1,0,0,0
09.10.2023,20:00,1,1,1,0,1,0
09.10.2023,21:00,1,1,0,0,1,0
10.10.2023,9:00,1,1,0,0,0,0
10.10.2023,10:00,1,1,1,0,0,0
10.10.2023,11:00,1,0,0,0,1,0
10.10.2023,12:00,1,0,0,0,0,0
10.10.2023,13:00,1,0,0,0,0,0
10.10.2023,14:00,1,0,0,0,0,0
10.10.2023,15:00,1,0,0,0,0,0
10.10.2023,16:00,1,0,0,0,0,0
10.10.2023,17:00,1,0,0,0,0,0
10.10.2023,18:00,1,0,0,0,0,0
10.10.2023,19:00,1,1,1,0,0,1
